experiment_id,plan_id,date_utc,task,method,dataset,config,ablation,seed,git_commit,resolved_config_hash,partition_hash,architecture_id,run_type,status,primary_metric,primary_value,output_path,log_path,notes
plan0_effects,PLAN-0,2026-07-13,all,h-sfp,synthetic,tests/test_phase0_effects.py,all,17,e74388c084984e7eaeb3625ce46bff5e37051dac,N/A,N/A,N/A,deterministic_effect_tests,PASS,tests_passed,7,tests/test_phase0_effects.py,docs/optimization_loop/logs/plan0_effect_tests_20260713.log,"CPU-only; 7/7 passed; no training"
plan0_model_audit,PLAN-0,2026-07-13,classification+segmentation,h-sfp,cifar100+ham10000+isic-2018,registered defaults,none,42,e74388c084984e7eaeb3625ce46bff5e37051dac,N/A,N/A,source-derived,model_forward_audit,PASS,forward_paths_verified,3,docs/optimization_loop/PROJECT_STATE.md,docs/optimization_loop/logs/plan0_model_audit_20260713.log,"Cached weights; no gradients or training"
plan1_smoke_baseline,PLAN-1,2026-07-13,classification,h-sfp,cifar100,configs/smoke/plan1_cifar100_ehsfp_gate.yaml,baseline_hsfp,20260713,e74388c084984e7eaeb3625ce46bff5e37051dac,64ed61e13fa99deb68a2c79741772a4a1aa3d1e2be24abf8d1978c59b2d8e37b,2a0d4f39cea464d7d0478efd0e545ad99eba808c15d7f114e595bffa268402ef,10abc078df3f,smoke,FAIL,,,classification/H-SFP/Figure/data/runs/10abc078df3f/64ed61e13fa99deb68a2c79741772a4a1aa3d1e2be24abf8d1978c59b2d8e37b,docs/optimization_loop/logs/plan1_smoke_20260713/baseline_hsfp.log,"No test metric; crashed in round 1 at hierarchy.py:781 on CPU bfloat16/FP32 mismatch"
plan1_smoke_full_e,PLAN-1,2026-07-13,classification,h-sfp,cifar100,configs/smoke/plan1_cifar100_ehsfp_gate.yaml,full_e_hsfp,20260713,e74388c084984e7eaeb3625ce46bff5e37051dac,2321d950d0bf0b6fec5303adbc338de6d87a18a90a6ddd6fe9948236b9cd27b0,2a0d4f39cea464d7d0478efd0e545ad99eba808c15d7f114e595bffa268402ef,10abc078df3f,smoke,PASS,final_train_loss,4.514366662248652,classification/H-SFP/Figure/data/runs/10abc078df3f/2321d950d0bf0b6fec5303adbc338de6d87a18a90a6ddd6fe9948236b9cd27b0,docs/optimization_loop/logs/plan1_smoke_20260713/full_e_hsfp.log,"No test metric; 2 rounds completed; all recorded losses finite; runtime 514.1444s"
plan1b_smoke_baseline,PLAN-1b,2026-07-13,classification,h-sfp,cifar100,configs/smoke/plan1_cifar100_ehsfp_gate.yaml,baseline_hsfp,20260713,e74388c084984e7eaeb3625ce46bff5e37051dac,c9d23d233f052c62284f1913298b7af89c26bf879da59b17e18918fc64ead6bb,N/A,10abc078df3f,smoke,BLOCKED,cuda_available,0,,docs/optimization_loop/logs/plan1b_smoke_20260713/baseline_hsfp.log,"No training or output dir created; CUDA unavailable (device_count=0); launch also encountered missing local psutil before fail-closed runner guard"
plan1b_smoke_full_e,PLAN-1b,2026-07-13,classification,h-sfp,cifar100,configs/smoke/plan1_cifar100_ehsfp_gate.yaml,full_e_hsfp,20260713,e74388c084984e7eaeb3625ce46bff5e37051dac,c792f82dae2844105faf20a131ca8f41fe42d29f16221476d8993577a593749f,N/A,10abc078df3f,smoke,BLOCKED,cuda_available,0,,docs/optimization_loop/logs/plan1b_smoke_20260713/full_e_hsfp.log,"No training or output dir created; CUDA unavailable (device_count=0); launch also encountered missing local psutil before fail-closed runner guard"
plan1d_smoke_baseline,PLAN-1d,2026-07-13,classification,h-sfp,cifar100,configs/smoke/plan1_cifar100_ehsfp_gate.yaml,baseline_hsfp,20260713,e74388c084984e7eaeb3625ce46bff5e37051dac,8f2cf70e809f87b61f403daa348c08f114bb850eea5af194fbe9bdb79e65d55e,379ce6b477fef37eafb5a5d0b9c4f38d38d6b940e5868cba54f04ef7fdad3908,e4b67d7d5c12,host_gpu_smoke,smoke-pass,smoke_gate_pass,1,classification/H-SFP/Figure/data/runs/e4b67d7d5c12/8f2cf70e809f87b61f403daa348c08f114bb850eea5af194fbe9bdb79e65d55e,docs/optimization_loop/logs/plan1d_hostgpu_20260714_001141/baseline_hsfp.log,"EXIT 0 on cuda; 2 rounds; no traceback; all E-HSFP counters zero as required; validation top-1 0.0293 is smoke-only and not promoted"
plan1d_smoke_full_e,PLAN-1d,2026-07-13,classification,h-sfp,cifar100,configs/smoke/plan1_cifar100_ehsfp_gate.yaml,full_e_hsfp,20260713,e74388c084984e7eaeb3625ce46bff5e37051dac,1162713af2781b05ff6f9d5528d9bae51a8ddd1880a8b12bfa9831fa7a397360,379ce6b477fef37eafb5a5d0b9c4f38d38d6b940e5868cba54f04ef7fdad3908,e4b67d7d5c12,host_gpu_smoke,smoke-pass,smoke_gate_pass,1,classification/H-SFP/Figure/data/runs/e4b67d7d5c12/1162713af2781b05ff6f9d5528d9bae51a8ddd1880a8b12bfa9831fa7a397360,docs/optimization_loop/logs/plan1d_hostgpu_20260714_001141/full_e_hsfp.log,"EXIT 0 on cuda; 2 rounds; no traceback; mem r/w/replay=4000/2000/4000; PRC=600 calls mean 0.0896928405; reliability nonuniform=551; dropout apply=4 active mean=3.75; validation top-1 0.027 is smoke-only and not promoted"
plan2_proxy_splitfl,PLAN-2,2026-07-13,classification,splitfl,cifar100,configs/proxy/plan2_cifar100_splitfl.yaml,none,20260714,e74388c084984e7eaeb3625ce46bff5e37051dac,cb01b9aac887ae57e9e364c95f6b25b5deac8cc25c5177f6472d0224dcec21cc,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,N/A,bounded_proxy,COMPLETE,test_as_val_top1_percent,44.57,outputs/proxy/plan2_cifar100_splitfl_seed20260714/SplitFL_cifar100_iid:True_resnet50_200users.json,docs/optimization_loop/logs/plan2_proxy_20260714_003839/splitfl.log,"10-round proxy; official test reused during model evaluation; test-as-val and fairness flagged; runtime 526s"
plan2_proxy_federated,PLAN-2,2026-07-13,classification,federated,cifar100,configs/proxy/plan2_cifar100_federated.yaml,none,20260714,e74388c084984e7eaeb3625ce46bff5e37051dac,da304a30a69430804f638514b4c2c3a3fe49609e9b658a46a8ca2c343a97f2c1,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,N/A,bounded_proxy,COMPLETE,test_as_val_top1_percent,34.76,outputs/proxy/plan2_cifar100_federated_seed20260714/fedavg_cifar100_iid:True_resnet50_200users.json,docs/optimization_loop/logs/plan2_proxy_20260714_003839/federated.log,"10-round proxy; official test repeatedly evaluated; test-as-val and fairness flagged; runtime 1296s"
