method,config,seed,dataset,rounds,best_val_top1,macro_f1,total_comm_MB,peak_vram_MB,runtime_s,partition_hash,config_hash,status
federated,configs/proxy/plan2_cifar100_federated.yaml,20260714,cifar100,10,34.760000000000005,,,,,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,1a88358a0d4e767c9a0d5495c6035a9c14f8bd5161eec5e1092259eedbb6654a,complete_missing_total_comm_MB+peak_vram_MB+runtime_s
federated,configs/proxy/plan2_cifar100_federated.yaml,20260715,cifar100,10,38.23,,94243.82934570312,303.88837890625,547.3824725151062,40fc6ab8f6157ba946806476ca077da6d1c4197808313b66980e3c973fd2a470,36286596e714f051442134f2c6cc6edff33cbc6cea3c8890cc209d4f3f305f4d,complete
federated,configs/proxy/plan2_cifar100_federated.yaml,20260716,cifar100,10,34.44,,94243.82934570312,303.88837890625,985.7697575092316,e13b513ace31b630e008d51bf7edd2ca5f3f899d8ba04ea481463bf23325ddc3,f47c1159fd1ba83533b35f01a243ec2898e622235003708ae29a087bba8b2764,complete
h-sfp,configs/proxy/plan2_cifar100_hsfp_baseline.yaml+centered_cosine+freeze_backbone+num_workers=0,20260714,cifar100,10,9.76,,122.13323875,445.015625,,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,59e4c13543ac148525df0bec743dcf76ae6c2186cfa52009253501a690af54a2,complete_missing_runtime_s
h-sfp,configs/proxy/plan2_cifar100_hsfp_baseline.yaml+centered_cosine+freeze_backbone+num_workers=0,20260715,cifar100,10,10.549999999999999,,122.0502309375,418.833984375,,40fc6ab8f6157ba946806476ca077da6d1c4197808313b66980e3c973fd2a470,b00c6e4880d28098bfa1b53c6a96d5c352176378096577ee05a69749e6924597,complete_missing_runtime_s
h-sfp,configs/proxy/plan2_cifar100_hsfp_baseline.yaml+centered_cosine+freeze_backbone+num_workers=0,20260716,cifar100,10,10.56,,121.97698875,437.1611328125,,e13b513ace31b630e008d51bf7edd2ca5f3f899d8ba04ea481463bf23325ddc3,e6a83859808e2a4459b443dad66e0b58426726b01752bc045cbee9f24f063328,complete_missing_runtime_s
heterosfl,configs/proxy/plan15_cifar100_heterosfl.yaml,20260714,cifar100,10,17.25,2.980605572165444,6074.21875,317.40087890625,553.2242684364319,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,50ee62979327207679efdcb5d71fc9648a7f4520166d6464cdcd2125c4106588,complete
heterosfl,configs/proxy/plan15_cifar100_heterosfl.yaml,20260715,cifar100,10,21.91,1.8756215647299328,6601.5625,318.15087890625,192.5453119277954,40fc6ab8f6157ba946806476ca077da6d1c4197808313b66980e3c973fd2a470,d89bccb0a7bf99d8fa9f17bae189dc055e923d0a78f9ccd904a4fd636b12a552,complete
heterosfl,configs/proxy/plan15_cifar100_heterosfl.yaml,20260716,cifar100,10,16.89,1.5845340218017006,6513.671875,318.025390625,192.744371175766,e13b513ace31b630e008d51bf7edd2ca5f3f899d8ba04ea481463bf23325ddc3,7a0e6d33b51100610fbc913548c8654b21fb00dab77c38582cd2d2bfbb14bf94,complete
hierfl,configs/proxy/plan15_cifar100_hierfl.yaml,20260714,cifar100,10,33.17,,19277.146911621094,306.8076171875,344.58407640457153,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,b4cdbbbb5430411b2d44b70c12e7ee6b0a299a260bb924844b3547e09373edca,complete
hierfl,configs/proxy/plan15_cifar100_hierfl.yaml,20260715,cifar100,10,34.29,,19277.146911621094,306.8076171875,990.3205637931824,40fc6ab8f6157ba946806476ca077da6d1c4197808313b66980e3c973fd2a470,d8c3d53dc36cd8f79f564c092ebd6fe847450a7de79b7830a2a5c09423600fdf,complete
hierfl,configs/proxy/plan15_cifar100_hierfl.yaml,20260716,cifar100,10,32.190000000000005,,19277.146911621094,306.4951171875,340.99690794944763,e13b513ace31b630e008d51bf7edd2ca5f3f899d8ba04ea481463bf23325ddc3,b5777dfc319d2d735f627b326946d64e53492a031e10e0d844889d284537234d,complete
