method,config,seed,dataset,rounds,best_val_top1,macro_f1,total_comm_MB,peak_vram_MB,runtime_s,partition_hash,config_hash,status
federated,configs/proxy/plan_ham10000_federated.yaml,20260714,ham10000,10,71.84223664503246,,197853.87268066406,565.86123046875,731.2874066829681,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,78d501aa3a384d760af801d4bf870efc62a9a618369945a3f18a9913f11f5e76,complete
federated,configs/proxy/plan_ham10000_federated.yaml,20260715,ham10000,10,72.24163754368448,,197853.87268066406,565.86123046875,655.866667509079,40fc6ab8f6157ba946806476ca077da6d1c4197808313b66980e3c973fd2a470,4345b7e38ff5815d026436e7ed3c259fe7bedfaea962e8d06c05d912f3047307,complete
federated,configs/proxy/plan_ham10000_federated.yaml,20260716,ham10000,10,70.19470793809286,,197853.87268066406,565.86123046875,632.682137966156,e13b513ace31b630e008d51bf7edd2ca5f3f899d8ba04ea481463bf23325ddc3,fc41590bd90c78de64624b44a3f45eefac4bb06e27048c59ae655b83a8b26aa4,complete
h-sfp,configs/proxy/plan_ham10000_hsfp.yaml,20260714,ham10000,10,10.983524712930603,,855.99659,1642.626953125,,09e04bfb8e2c74fc3c58f9570a57581b3f3e194873d849b43d21f01565eedbd2,f10a9e97234c369a919144722429cd771f4abe37cd60dde8c03a5484b0aa869d,complete_missing_runtime_s
h-sfp,configs/proxy/plan_ham10000_hsfp.yaml,20260715,ham10000,10,10.983524712930603,,851.3794025,1639.2412109375,,d234dddfa64732204c275404e58ab538039d2562a860db09815fced70c6bf5db,50b50b4a441900421cc23a8f678384619ad89837caa97a12fbe75bd2752d0a20,complete_missing_runtime_s
h-sfp,configs/proxy/plan_ham10000_hsfp.yaml,20260716,ham10000,10,10.983524712930603,,870.574715,1658.3671875,,a5e5ddd8aad48ce2a46364bf46b44c72852b7a0769cbdb173dccd6518b907dd5,93e4ede330aa6306ff9c1f64e556c7880a71cfc81d95f94652aa949696783d04,complete_missing_runtime_s
heterosfl,configs/proxy/plan_ham10000_heterosfl.yaml,20260714,ham10000,10,67.69845232151772,11.461048673133627,711.7919921875,576.39501953125,419.61636543273926,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,b40b26577dd3006cd4807e5be3ba58b928dc1e3eae82f1adcf3b7e3883ada06e,complete
heterosfl,configs/proxy/plan_ham10000_heterosfl.yaml,20260715,ham10000,10,68.89665501747379,13.286938667623954,873.291015625,578.55908203125,423.86342453956604,40fc6ab8f6157ba946806476ca077da6d1c4197808313b66980e3c973fd2a470,e2fb08eb79d3f812af8bd4d7e5e6df58915627ffb8823136c52947e6e1e97cea,complete
heterosfl,configs/proxy/plan_ham10000_heterosfl.yaml,20260716,ham10000,10,68.8467299051423,21.7837212523346,733.3251953125,576.47314453125,418.8673906326294,e13b513ace31b630e008d51bf7edd2ca5f3f899d8ba04ea481463bf23325ddc3,d6583393c9d43581be3fe04fe82b296e8c995918fd67cf57eae927db8b7640cb,complete
hierfl,configs/proxy/plan_ham10000_hierfl.yaml,20260714,ham10000,10,71.84223664503246,,40470.11032104492,569.48623046875,1186.9929735660553,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,5d4fddbd470c3d5e9b47bd5b8bbfb0b40d20d139a80df5978818639cd0535846,complete
hierfl,configs/proxy/plan_ham10000_hierfl.yaml,20260715,ham10000,10,71.29306040938592,,40470.11032104492,569.48623046875,1176.7030923366547,40fc6ab8f6157ba946806476ca077da6d1c4197808313b66980e3c973fd2a470,46b73b7443284859665e063627c49265afe2074eac1326d186c452eeb31c78d9,complete
hierfl,configs/proxy/plan_ham10000_hierfl.yaml,20260716,ham10000,10,71.19321018472291,,40470.11032104492,569.48623046875,1185.779171705246,e13b513ace31b630e008d51bf7edd2ca5f3f899d8ba04ea481463bf23325ddc3,1f5d477b46504d8a45d4a573641ce746f8cc35b540c2f8c40649532b9c10016e,complete
hsfl,configs/proxy/plan_ham10000_hsfl.yaml,20260714,ham10000,10,75.23714428357464,,76599.02784,995.53857421875,360.4095299243927,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,98373d4a98c91469913f83269173d9084ff7fab0dc6d5c4e4f87cd5cbd007d29,complete
hsfl,configs/proxy/plan_ham10000_hsfl.yaml,20260715,ham10000,10,69.44583125312032,,76599.02784,994.5948486328125,348.48504614830017,40fc6ab8f6157ba946806476ca077da6d1c4197808313b66980e3c973fd2a470,f65acdc149996da38407d23361de9531b5e7a1045bd38f49233b8fb114d40ecd,complete
hsfl,configs/proxy/plan_ham10000_hsfl.yaml,20260716,ham10000,10,76.63504742885672,,76599.02784,992.8212890625,344.1816942691803,e13b513ace31b630e008d51bf7edd2ca5f3f899d8ba04ea481463bf23325ddc3,84f701df465cd68d15bced416ba70778cc670c3a8ce7735bb4defbe252389a05,complete
splitfl,configs/proxy/plan_ham10000_splitfl.yaml,20260714,ham10000,10,77.68347478781827,77.68347478781827,27525.103759765625,537.4068017578126,522.698867559433,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,47ff0be75d5620d2eb359ce0481596123dbf13a68c62baf173320a81b08499aa,complete
splitfl,configs/proxy/plan_ham10000_splitfl.yaml,20260715,ham10000,10,78.2825761357963,78.2825761357963,27525.103759765625,538.4480517578124,490.2379949092865,40fc6ab8f6157ba946806476ca077da6d1c4197808313b66980e3c973fd2a470,dbeb429975486503e1a8db828a6fdf6a74286bed13c26cb08f8ff32cf46b9935,complete
splitfl,configs/proxy/plan_ham10000_splitfl.yaml,20260716,ham10000,10,78.43235147279081,78.3824263604593,27525.103759765625,537.8343017578125,467.4858572483063,e13b513ace31b630e008d51bf7edd2ca5f3f899d8ba04ea481463bf23325ddc3,555eb7b2e5bda2b3cf6f811f279aac505b8a63f79277cda7eb885a0448d2e1a9,complete
unknown,,20260714,ham10000,10,,,,,,09e04bfb8e2c74fc3c58f9570a57581b3f3e194873d849b43d21f01565eedbd2,75047fedce61343cad7d4c48c89cb60115acc9b6984efc801344980649a7bfd7,incomplete
unknown,,20260715,ham10000,10,,,,,,d234dddfa64732204c275404e58ab538039d2562a860db09815fced70c6bf5db,b5fa0a328f04c244ef2ebac63b5889d2c96f88a4ecadfd2a810d7699e77dd423,incomplete
unknown,,20260716,ham10000,10,,,,,,a5e5ddd8aad48ce2a46364bf46b44c72852b7a0769cbdb173dccd6518b907dd5,24649484a7cf12494f941648a286f848cc6d30db09fe7c5cd4bc15a5c7145c02,incomplete
