method,seed,best_iou_pct,runtime_s,status,notes
federated,20260714,27.00,,complete,
federated,20260715,27.32,,complete,
federated,20260716,28.97,,complete,
hierfl,20260714,62.14,,complete,
hierfl,20260715,62.00,,complete,
hierfl,20260716,65.38,,complete,
heterosfl,20260714,25.44,,complete,
heterosfl,20260715,25.99,,complete,
heterosfl,20260716,25.98,,complete,
h-sfp,20260714,50.28,3412,complete,fp16-std-overflow NaN bug fixed 2026-07-20; see DECISIONS.md
h-sfp,20260715,45.14,3352,complete,fp16-std-overflow NaN bug fixed 2026-07-20; see DECISIONS.md
h-sfp,20260716,46.38,3191,complete,fp16-std-overflow NaN bug fixed 2026-07-20; see DECISIONS.md
