experiment_id,seed,run_type,launch_command,log_path,output_path,exit_status,start_time,end_time,duration_s,marker_status
conv_hsfp_classification_h-sfp_cifar_our_resnet50_5_10_s0,0,convergence,"python main.py --task classification --method h-sfp --cfg configs/classification/h-sfp/cifar_our_resnet50_5_10.yaml --seed 0",results/journal/logs/conv_hsfp_classification_h-sfp_cifar_our_resnet50_5_10_s0.log,MISSING,0,MISSING,MISSING,24040.2,done
conv_ehsfp_classification_h-sfp_cifar_our_resnet50_5_10_full_e_hsfp_s0,0,convergence,"python main.py --task classification --method h-sfp --cfg configs/classification/h-sfp/cifar_our_resnet50_5_10.yaml --seed 0 --ablation full_e_hsfp",results/journal/logs/conv_ehsfp_classification_h-sfp_cifar_our_resnet50_5_10_full_e_hsfp_s0.log,MISSING,0,MISSING,MISSING,MISSING,done
conv_fed_classification_federated_cifar_fednova_resnet50_s0,0,convergence,"python main.py --task classification --method federated --cfg configs/classification/federated/cifar_fednova_resnet50.yaml --seed 0",results/journal/logs/conv_fed_classification_federated_cifar_fednova_resnet50_s0.log,MISSING,1,MISSING,MISSING,MISSING,failed
conv_fed_classification_federated_ham10000_fednova_resnet50_s0,0,convergence,"python main.py --task classification --method federated --cfg configs/classification/federated/ham10000_fednova_resnet50.yaml --seed 0",results/journal/logs/conv_fed_classification_federated_ham10000_fednova_resnet50_s0.log,MISSING,1,MISSING,MISSING,MISSING,failed
conv_heterosfl_classification_hetero-sfl_cifar_heteroSFL_resnet18_s0,0,convergence,"python main.py --task classification --method hetero-sfl --cfg configs/classification/hetero-sfl/cifar_heteroSFL_resnet18.yaml --seed 0",results/journal/logs/conv_heterosfl_classification_hetero-sfl_cifar_heteroSFL_resnet18_s0.log,MISSING,1,MISSING,MISSING,MISSING,failed
conv_heterosfl_classification_hetero-sfl_ham10000_heteroSFL_resnet50_s0,0,convergence,"python main.py --task classification --method hetero-sfl --cfg configs/classification/hetero-sfl/ham10000_heteroSFL_resnet50.yaml --seed 0",results/journal/logs/conv_heterosfl_classification_hetero-sfl_ham10000_heteroSFL_resnet50_s0.log,MISSING,1,MISSING,MISSING,MISSING,failed
intv_hsfp_classification_h-sfp_ham10000_our_resnet50_10_20_s0,0,intervals,"python main.py --task classification --method h-sfp --cfg configs/classification/h-sfp/ham10000_our_resnet50_10_20.yaml --seed 0",results/journal/logs/intv_hsfp_classification_h-sfp_ham10000_our_resnet50_10_20_s0.log,MISSING,1,MISSING,MISSING,MISSING,failed
intv_ehsfp_classification_h-sfp_ham10000_our_resnet50_5_10_full_e_hsfp_s0,0,intervals,"python main.py --task classification --method h-sfp --cfg configs/classification/h-sfp/ham10000_our_resnet50_5_10.yaml --seed 0 --ablation full_e_hsfp",results/journal/logs/intv_ehsfp_classification_h-sfp_ham10000_our_resnet50_5_10_full_e_hsfp_s0.log,MISSING,1,MISSING,MISSING,MISSING,failed
intv_ehsfp_classification_h-sfp_ham10000_our_resnet50_10_20_full_e_hsfp_s0,0,intervals,"python main.py --task classification --method h-sfp --cfg configs/classification/h-sfp/ham10000_our_resnet50_10_20.yaml --seed 0 --ablation full_e_hsfp",results/journal/logs/intv_ehsfp_classification_h-sfp_ham10000_our_resnet50_10_20_full_e_hsfp_s0.log,MISSING,1,MISSING,MISSING,MISSING,failed
intv_ehsfp_classification_h-sfp_ham10000_our_resnet50_25_50_full_e_hsfp_s0,0,intervals,"python main.py --task classification --method h-sfp --cfg configs/classification/h-sfp/ham10000_our_resnet50_25_50.yaml --seed 0 --ablation full_e_hsfp",results/journal/logs/intv_ehsfp_classification_h-sfp_ham10000_our_resnet50_25_50_full_e_hsfp_s0.log,MISSING,143,MISSING,MISSING,MISSING,failed
hsfp_seed20260714_nanfix,20260714,isic_segmentation,"python main.py --task segmentation --method h-sfp --cfg configs/proxy/plan_isic2018_hsfp.yaml --seed 20260714 --ablation baseline_hsfp --set output_dir=outputs/isic2018/hsfp_seed20260714_nanfix",docs/optimization_loop/logs/plan36_hsfp_fix_rerun/hsfp_20260714.log,outputs/isic2018/hsfp_seed20260714_nanfix,0,2026-07-20T10:44:59+07:00,MISSING,3412,done
hsfp_seed20260715_nanfix,20260715,isic_segmentation,"python main.py --task segmentation --method h-sfp --cfg configs/proxy/plan_isic2018_hsfp.yaml --seed 20260715 --ablation baseline_hsfp --set output_dir=outputs/isic2018/hsfp_seed20260715_nanfix",docs/optimization_loop/logs/plan36_hsfp_fix_rerun/hsfp_20260715.log,outputs/isic2018/hsfp_seed20260715_nanfix,0,MISSING,MISSING,3352,done
hsfp_seed20260716_nanfix,20260716,isic_segmentation,"python main.py --task segmentation --method h-sfp --cfg configs/proxy/plan_isic2018_hsfp.yaml --seed 20260716 --ablation baseline_hsfp --set output_dir=outputs/isic2018/hsfp_seed20260716_nanfix",docs/optimization_loop/logs/plan36_hsfp_fix_rerun/hsfp_20260716.log,outputs/isic2018/hsfp_seed20260716_nanfix,0,MISSING,2026-07-20T13:30:54+07:00,3191,done
