experiment_id,dataset,method,variant,seed,existing_artifact,protocol_match,validation_status,reuse_decision,notes
plan9_raw_evalfix,cifar100,h-sfp,baseline_hsfp+raw+EVALFIX,20260714,outputs/proxy/plan9_raw_evalfix_seed20260714,MATCH_POST_EVALFIX,VERIFIED_EXISTING,REUSE,true corrected raw H-SFP baseline
plan10_centered_corr,cifar100,h-sfp,baseline_hsfp+centered_cosine+EVALFIX,20260714,outputs/proxy/plan10_centered_corr_seed20260714,MATCH_POST_EVALFIX,VERIFIED_EXISTING,REUSE,promoted (+1.65 vs raw)
plan10_whitened_corr,cifar100,h-sfp,baseline_hsfp+whitened_cosine+EVALFIX,20260714,outputs/proxy/plan10_whitened_corr_seed20260714,MATCH_POST_EVALFIX,VERIFIED_EXISTING,REUSE,rejected variant (below raw) - keep for negative-result record
plan11_freeze_centered,cifar100,h-sfp,baseline_hsfp+centered_cosine+FREEZE+EVALFIX,20260714,outputs/proxy/plan11_freeze_centered_seed20260714,MATCH_POST_EVALFIX,VERIFIED_EXISTING,REUSE,best single-seed config
plan14_freeze_centered,cifar100,h-sfp,baseline_hsfp+centered_cosine+FREEZE+EVALFIX,20260715,outputs/proxy/plan14_freeze_centered_s20260715,DATE_SEED_PROTOCOL,VERIFIED_EXISTING,REUSE,3-seed confirm
plan14_freeze_centered,cifar100,h-sfp,baseline_hsfp+centered_cosine+FREEZE+EVALFIX,20260716,outputs/proxy/plan14_freeze_centered_s20260716,DATE_SEED_PROTOCOL,VERIFIED_EXISTING,REUSE,3-seed confirm
plan2_proxy_hsfp_baseline,cifar100,h-sfp,baseline_hsfp,20260714,outputs/proxy/plan2_cifar100_hsfp_baseline_seed20260714,PRE_EVALFIX,INVALID,DO_NOT_REUSE,superseded by plan9_raw_evalfix; frozen client-0 eval bug
plan2_proxy_splitfl,cifar100,splitfl,baseline,20260714,outputs/proxy/plan2_cifar100_splitfl_seed20260714,PRE_EVALFIX+TEST_LEAKAGE,INVALID,DO_NOT_REUSE,test-as-validation; not confirmed re-run post-fix
plan2_proxy_federated,cifar100,federated,fedavg,20260714,outputs/proxy/plan2_cifar100_federated_seed20260714,PRE_EVALFIX+TEST_LEAKAGE,INVALID,DO_NOT_REUSE,test-as-validation; not confirmed re-run post-fix
plan11_full_e_centered_HANG,cifar100,h-sfp,full_e_hsfp+centered_cosine,20260714,outputs/proxy/plan11_full_e_centered_seed20260714,N/A,INVALID,DO_NOT_REUSE,DNF - DataLoader worker hang
