experiment_id,dataset,task,method,variant,seed_count,seed_list,metric_name,mean,std,failed_seed_count,status,provenance_path,notes
plan14_freeze_centered,cifar100,classification,h-sfp,baseline_hsfp+centered_cosine+FREEZE+EVALFIX,3,"20260714;20260715;20260716",best_val_top1,10.29,0.37,0,VERIFIED_EXISTING,docs/optimization_loop/EXPERIMENT_REGISTRY.csv,date-seed protocol (n=3) - not poolable with new 0-4 seed runs
isic2018_hsfp_fixed,isic2018,segmentation,h-sfp,baseline_hsfp,3,"20260714;20260715;20260716",best_iou,47.27,2.19,0,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,date-seed protocol (n=3); fixed 2026-07-20
isic2018_hierfl,isic2018,segmentation,hierfl,baseline,3,"20260714;20260715;20260716",best_iou,63.17,1.56,0,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,date-seed protocol (n=3)
isic2018_federated,isic2018,segmentation,federated,fedavg,3,"20260714;20260715;20260716",best_iou,27.76,0.86,0,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,date-seed protocol (n=3)
isic2018_heterosfl,isic2018,segmentation,hetero-sfl,baseline,3,"20260714;20260715;20260716",best_iou,25.80,0.26,0,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,date-seed protocol (n=3)
ham10000_hsfp_SUSPECT,ham10000,classification,h-sfp,baseline,3,"20260714;20260715;20260716",best_val_top1,10.983524712930603,0.0,0,INVALID,results/fair_comparison_ham10000.csv,std=0.0 across 3 different seeds is itself the red flag - seed-not-applied bug suspected; DO NOT REUSE
cifar100_full60_splitfl,cifar100,classification,splitfl,baseline,3,"20260714;20260715;20260716",test_top1,60.0,MISSING,0,COMPLETE_UNVALIDATED,results/fair_comparison_cifar100_full60.csv,per-seed std not yet extracted; F1-validity/comm-accounting checks not applied
cifar100_full60_hsfl,cifar100,classification,hsfl,baseline,3,"20260714;20260715;20260716",test_top1,57.3,MISSING,0,COMPLETE_UNVALIDATED,results/fair_comparison_cifar100_full60.csv,same caveat
cifar100_full60_federated,cifar100,classification,federated,fedavg,3,"20260714;20260715;20260716",test_top1,56.6,MISSING,0,COMPLETE_UNVALIDATED,results/fair_comparison_cifar100_full60.csv,same caveat
cifar100_full60_hierfl,cifar100,classification,hierfl,baseline,3,"20260714;20260715;20260716",test_top1,54.8,MISSING,0,COMPLETE_UNVALIDATED,results/fair_comparison_cifar100_full60.csv,same caveat
cifar100_full60_heterosfl,cifar100,classification,hetero-sfl,baseline,3,"20260714;20260715;20260716",test_top1,38.4,MISSING,0,COMPLETE_UNVALIDATED,results/fair_comparison_cifar100_full60.csv,round-count field absent from raw JSON - verify separately
cifar100_full60_hsfp,cifar100,classification,h-sfp,baseline,3,"20260714;20260715;20260716",test_top1,11.5,MISSING,0,COMPLETE_UNVALIDATED,results/fair_comparison_cifar100_full60.csv,confirmed baseline H-SFP not E-HSFP (ehsfp_runtime_counters all zero)
abl_cifar_60round_ablation_ladder,cifar100,classification,h-sfp,"baseline_hsfp;hsfp_memory;hsfp_memory_dropout;hsfp_memory_reliability",1,0,best_val_top1,"8.10;11.28;11.20;11.26",N/A,0,VERIFIED_NEW,results/journal/logs/abl_classification_h-sfp_cifar_our_resnet50_5_10_*_s0_RERUN.log,single seed (s0) per preset; 60-round rerun post ablation-collapse fix cf6454c; memory alone gives the largest jump (+3.18pp over baseline); dropout/reliability produce small secondary effects consistent in direction with the earlier valid 10-round proxy study; PRC-bearing presets not yet rerun
abl_ham10000_60round_ablation_ladder,ham10000,classification,h-sfp,"hsfp_memory;hsfp_memory_dropout;hsfp_memory_reliability",1,0,best_val_top1,"54.72;50.77;55.82",N/A,0,VERIFIED_NEW,"results/journal/logs/abl_classification_h-sfp_ham10000_our_resnet50_5_10_*_s0_RERUN_v2.log (memory/dropout); ..._RERUN.log (reliability, same file reused for the post-fix retry)",single seed (s0) per preset; 60-round rerun post fp16-prototype-std fix (task #17); no baseline_hsfp comparator run in this pass (existing baseline number is unaffected by either bug and can be reused - see plan38 first-pass note); all 3 non-PRC presets now train genuinely (best epochs 27/42/56, not stuck at epoch 1); PRC-bearing presets not yet rerun (blocked on autograd deadlock)
