experiment_id,dataset,task,method,variant,seed,accuracy,macro_f1,dice,iou,total_comm_MB,client_memory_MB,edge_memory_MB,cloud_memory_MB,runtime_s,status,raw_result_path,notes
plan9_raw_evalfix,cifar100,classification,h-sfp,baseline_hsfp+raw+EVALFIX,20260714,7.92,MISSING,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,outputs/proxy/plan9_raw_evalfix_seed20260714,corrected val top1 post-eval-bug-fix
plan11_freeze_centered,cifar100,classification,h-sfp,baseline_hsfp+centered_cosine+FREEZE+EVALFIX,20260714,9.76,MISSING,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,outputs/proxy/plan11_freeze_centered_seed20260714,best single-seed config
plan14_freeze_centered,cifar100,classification,h-sfp,baseline_hsfp+centered_cosine+FREEZE+EVALFIX,20260715,10.55,MISSING,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,outputs/proxy/plan14_freeze_centered_s20260715,3-seed confirm
plan14_freeze_centered,cifar100,classification,h-sfp,baseline_hsfp+centered_cosine+FREEZE+EVALFIX,20260716,10.56,MISSING,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,outputs/proxy/plan14_freeze_centered_s20260716,3-seed confirm
isic2018_hsfp_fixed,isic2018,segmentation,h-sfp,baseline_hsfp,20260714,N/A,N/A,MISSING,50.28,MISSING,MISSING,MISSING,MISSING,3412,VERIFIED_EXISTING,docs/optimization_loop/logs/plan36_hsfp_fix_rerun/hsfp_20260714.log,fp16-std-overflow NaN bug fixed 2026-07-20
isic2018_hsfp_fixed,isic2018,segmentation,h-sfp,baseline_hsfp,20260715,N/A,N/A,MISSING,45.14,MISSING,MISSING,MISSING,MISSING,3352,VERIFIED_EXISTING,docs/optimization_loop/logs/plan36_hsfp_fix_rerun/hsfp_20260715.log,fp16-std-overflow NaN bug fixed 2026-07-20
isic2018_hsfp_fixed,isic2018,segmentation,h-sfp,baseline_hsfp,20260716,N/A,N/A,MISSING,46.38,MISSING,MISSING,MISSING,MISSING,3191,VERIFIED_EXISTING,docs/optimization_loop/logs/plan36_hsfp_fix_rerun/hsfp_20260716.log,fp16-std-overflow NaN bug fixed 2026-07-20
isic2018_hierfl,isic2018,segmentation,hierfl,baseline,20260714,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,seed-level IoU not yet split out from CSV mean; TODO pull individual seed rows
isic2018_hierfl,isic2018,segmentation,hierfl,baseline,20260715,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,same TODO
isic2018_hierfl,isic2018,segmentation,hierfl,baseline,20260716,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,same TODO
isic2018_federated,isic2018,segmentation,federated,fedavg,20260714,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,same TODO
isic2018_federated,isic2018,segmentation,federated,fedavg,20260715,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,same TODO
isic2018_federated,isic2018,segmentation,federated,fedavg,20260716,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,same TODO
isic2018_heterosfl,isic2018,segmentation,hetero-sfl,baseline,20260714,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,same TODO
isic2018_heterosfl,isic2018,segmentation,hetero-sfl,baseline,20260715,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,same TODO
isic2018_heterosfl,isic2018,segmentation,hetero-sfl,baseline,20260716,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,VERIFIED_EXISTING,results/fair_comparison_isic2018.csv,same TODO
ham10000_hsfp_SUSPECT,ham10000,classification,h-sfp,baseline,20260714,10.983524712930603,MISSING,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,INVALID,results/fair_comparison_ham10000.csv,bit-identical across all 3 seeds - seed-not-applied suspected; DO NOT REUSE
ham10000_hsfp_SUSPECT,ham10000,classification,h-sfp,baseline,20260715,10.983524712930603,MISSING,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,INVALID,results/fair_comparison_ham10000.csv,bit-identical across all 3 seeds - seed-not-applied suspected; DO NOT REUSE
ham10000_hsfp_SUSPECT,ham10000,classification,h-sfp,baseline,20260716,10.983524712930603,MISSING,N/A,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,INVALID,results/fair_comparison_ham10000.csv,bit-identical across all 3 seeds - seed-not-applied suspected; DO NOT REUSE
abl_cifar_hsfp_memory_RERUN,cifar100,classification,h-sfp,hsfp_memory,0,11.28,MISSING,N/A,N/A,1430.47,MISSING,MISSING,MISSING,6489,VERIFIED_NEW,results/journal/logs/abl_classification_h-sfp_cifar_our_resnet50_5_10_hsfp_memory_s0_RERUN.log,60-round rerun post ablation-collapse fix (cf6454c); supersedes invalid collapsed value of 8.10%
abl_cifar_hsfp_memory_dropout_RERUN,cifar100,classification,h-sfp,hsfp_memory_dropout,0,11.20,MISSING,N/A,N/A,1426.39,MISSING,MISSING,MISSING,6175,VERIFIED_NEW,results/journal/logs/abl_classification_h-sfp_cifar_our_resnet50_5_10_hsfp_memory_dropout_s0_RERUN.log,60-round rerun post ablation-collapse fix (cf6454c); supersedes invalid collapsed value of 8.10%; small decrease vs hsfp_memory alone (11.28->11.20) directionally matches the earlier 10-round proxy finding (10.26->9.89)
abl_cifar_hsfp_memory_reliability_RERUN,cifar100,classification,h-sfp,hsfp_memory_reliability,0,11.26,MISSING,N/A,N/A,1430.47,MISSING,MISSING,MISSING,6820,VERIFIED_NEW,results/journal/logs/abl_classification_h-sfp_cifar_our_resnet50_5_10_hsfp_memory_reliability_s0_RERUN.log,60-round rerun post ablation-collapse fix (cf6454c); supersedes invalid collapsed value of 8.10%; CIFAR ablation rerun campaign complete for these 3 non-PRC presets
abl_ham10000_hsfp_memory_RERUN,ham10000,classification,h-sfp,hsfp_memory,0,10.98,MISSING,N/A,N/A,11050.89,MISSING,MISSING,MISSING,10927,SUPERSEDED,results/journal/logs/abl_classification_h-sfp_ham10000_our_resnet50_5_10_hsfp_memory_s0_RERUN.log,pre-fp16-fix run; superseded by abl_ham10000_hsfp_memory_RERUN_v2 below
abl_ham10000_hsfp_memory_RERUN_v2,ham10000,classification,h-sfp,hsfp_memory,0,54.72,MISSING,N/A,N/A,16063.54,MISSING,MISSING,MISSING,11592,VERIFIED_NEW,results/journal/logs/abl_classification_h-sfp_ham10000_our_resnet50_5_10_hsfp_memory_s0_RERUN_v2.log,rerun post fp16-prototype-std fix (task #17); best checkpoint epoch 27/60; confirms fix resolves training collapse (consistent with hsfp_memory_reliability's 55.82%)
abl_ham10000_hsfp_memory_dropout_RERUN,ham10000,classification,h-sfp,hsfp_memory_dropout,0,10.98,MISSING,N/A,N/A,10755.68,MISSING,MISSING,MISSING,10233,SUPERSEDED,results/journal/logs/abl_classification_h-sfp_ham10000_our_resnet50_5_10_hsfp_memory_dropout_s0_RERUN.log,pre-fp16-fix run; superseded by abl_ham10000_hsfp_memory_dropout_RERUN_v2 below
abl_ham10000_hsfp_memory_dropout_RERUN_v2,ham10000,classification,h-sfp,hsfp_memory_dropout,0,50.77,MISSING,N/A,N/A,15473.14,MISSING,MISSING,MISSING,11222,VERIFIED_NEW,results/journal/logs/abl_classification_h-sfp_ham10000_our_resnet50_5_10_hsfp_memory_dropout_s0_RERUN_v2.log,rerun post fp16-prototype-std fix (task #17); best checkpoint epoch 42/60; confirms fix resolves training collapse; HAM10000 3-preset ablation rerun campaign now complete (54.72/50.77/55.82%)
